id,homeTeam,homeTeamImage,awayTeam,awayTeamImage,scoreHome,scoreAway,pointsHome,pointsAway,referee,stadium,capacity,public,date,time,country,round
4Ir9dKqU,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,2,0,3,0,Bellote L. (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096.0,6491.0,13/09/2024,19:00,BRASIL,SÉRIE B - RODADA 26
Yquce7qP,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,1,1,1,1,Ferreira Y. (Bra),Estádio Rei Pelé (Maceió),19105.0,5193.0,11/09/2024,21:30,BRASIL,SÉRIE B - RODADA 7
MHuIbk90,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,0,2,0,3,Augusto V. C. M. (Bra),Moisés Lucarelli (Campinas),17728.0,3401.0,09/09/2024,21:30,BRASIL,SÉRIE B - RODADA 25
08vMc9O6,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,1,0,3,0,Mendes F. (Bra),Estádio Santa Cruz (Ribeirão Preto),29292.0,1768.0,09/09/2024,20:00,BRASIL,SÉRIE B - RODADA 25
nPxUemgJ,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,3,0,3,0,A. Gomes Stefano (Bra),Mineirão (Belo Horizonte),61927.0,1768.0,08/09/2024,18:30,BRASIL,SÉRIE B - RODADA 25
fTrp2OFh,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,2,2,1,1,Lacerda D. (Bra),Estádio Couto Pereira (Curitiba),40502.0,19249.0,08/09/2024,18:30,BRASIL,SÉRIE B - RODADA 25
jexg02p5,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,2,1,3,0,Marcos André Gomes (Bra),Castelão (Fortaleza),60326.0,46976.0,08/09/2024,16:00,BRASIL,SÉRIE B - RODADA 25
n3ux4pot,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,0,2,0,3,F. A. Santos Sá Júnior (Bra),Ressacada (Florianópolis),17800.0,8601.0,07/09/2024,19:00,BRASIL,SÉRIE B - RODADA 25
06qt340n,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,0,1,0,3,Klein R. (Bra),Augusto Bauer (Brusque),5000.0,4600.0,07/09/2024,16:00,BRASIL,SÉRIE B - RODADA 25
8YwQdTwD,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,3,2,3,0,de Almeida Andrade E. R. (Bra),Estádio Novelli Júnior (Itu),18560.0,1405.0,07/09/2024,16:00,BRASIL,SÉRIE B - RODADA 25
YJsl1rVb,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,0,1,0,3,Pereira Sampiao S. (Bra),Leonidas Sodre de Castro (Belem),16200.0,6785.0,05/09/2024,21:30,BRASIL,SÉRIE B - RODADA 25
vgjDaVgf,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,1,0,3,0,L. Guimarães Rechatiko Horn (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788.0,6879.0,04/09/2024,20:00,BRASIL,SÉRIE B - RODADA 25
naRZoCPf,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,2,1,3,0,Augusto V. C. M. (Bra),Estádio Brinco de Ouro (Campinas),29130.0,,03/09/2024,21:30,BRASIL,SÉRIE B - RODADA 24
QkQwoWv1,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,1,0,3,0,M. Lima Barbosa (Bra),Estádio José Maria de Campos Maia (Mirassol),15000.0,,03/09/2024,19:00,BRASIL,SÉRIE B - RODADA 24
UJ0w6XGQ,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,0,0,1,1,F. A. Santos Sá Júnior (Bra),Estádio Germano Krüger (Ponta Grossa),10632.0,3727.0,02/09/2024,21:30,BRASIL,SÉRIE B - RODADA 24
Qkn90Bvl,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,3,2,3,0,Policarpo Bento A. (Bra),Arena Pernambuco (São Lourenço da Mata),44248.0,8870.0,02/09/2024,19:30,BRASIL,SÉRIE B - RODADA 24
IPMVnhAl,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,1,1,1,1,Ribeiro Serafim D. (Bra),Estádio da Serrinha (Goiânia),14450.0,6057.0,01/09/2024,18:30,BRASIL,SÉRIE B - RODADA 24
WSn51iPs,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,1,1,1,1,Correia B. (Bra),Arena da Amazônia (Manaus),44300.0,10065.0,01/09/2024,16:00,BRASIL,SÉRIE B - RODADA 24
Cr6Y6D1K,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,1,2,0,3,Vitor Gobi J. (Bra),Estádio Rei Pelé (Maceió),19105.0,2461.0,31/08/2024,18:00,BRASIL,SÉRIE B - RODADA 24
Yi7U7gnE,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,1,1,1,1,L. Torezin (Bra),Arena Condá (Chapecó),20089.0,4364.0,31/08/2024,17:00,BRASIL,SÉRIE B - RODADA 24
8EFrpjf7,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,2,0,3,0,A. Gomes Stefano (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096.0,2691.0,31/08/2024,17:00,BRASIL,SÉRIE B - RODADA 24
KlJnqA9D,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,2,2,1,1,Pereira Sampiao S. (Bra),Vila Belmiro (Santos),16068.0,6946.0,30/08/2024,21:30,BRASIL,SÉRIE B - RODADA 24
KlsegfXK,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,1,0,3,0,de Almeida Andrade E. R. (Bra),Estádio Couto Pereira (Curitiba),40502.0,14148.0,27/08/2024,21:30,BRASIL,SÉRIE B - RODADA 23
QRsifzIE,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,1,0,3,0,M. Lima Barbosa (Bra),Augusto Bauer (Brusque),5000.0,158.0,27/08/2024,21:00,BRASIL,SÉRIE B - RODADA 23
vZNRmYfr,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,1,0,3,0,Ribeiro Serafim D. (Bra),Castelão (Fortaleza),60326.0,20334.0,26/08/2024,21:00,BRASIL,SÉRIE B - RODADA 23
YioahEnR,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,0,0,1,1,Augusto V. C. M. (Bra),Leonidas Sodre de Castro (Belem),16200.0,,26/08/2024,18:30,BRASIL,SÉRIE B - RODADA 23
nyqmeG28,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,0,0,1,1,Alisson (Bra),Arena Condá (Chapecó),20089.0,3037.0,25/08/2024,18:30,BRASIL,SÉRIE B - RODADA 23
WhWezFQr,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,1,0,3,0,E. Alves Batista (Bra),Estádio Onésio Brasileiro Alvarenga (Goiânia),11788.0,9510.0,25/08/2024,18:30,BRASIL,SÉRIE B - RODADA 23
MsP8XCA1,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,1,0,3,0,Correia B. (Bra),Estádio Novelli Júnior (Itu),18560.0,1171.0,24/08/2024,17:00,BRASIL,SÉRIE B - RODADA 23
0YNCWWP7,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,0,0,1,1,J. Ferreira (Bra),Vila Belmiro (Santos),16068.0,10967.0,24/08/2024,16:00,BRASIL,SÉRIE B - RODADA 23
EHL0ZYuk,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,0,1,0,3,Mendes F. (Bra),Moisés Lucarelli (Campinas),17728.0,3775.0,23/08/2024,21:30,BRASIL,SÉRIE B - RODADA 23
UqpUveIR,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,0,1,0,3,F. Fernandes de Lima (Bra),Arena Pernambuco (São Lourenço da Mata),44248.0,11603.0,22/08/2024,21:00,BRASIL,SÉRIE B - RODADA 22
SKmDrwJ2,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,1,0,3,0,Oliveira M. (Bra),Ressacada (Florianópolis),17800.0,7783.0,22/08/2024,20:00,BRASIL,SÉRIE B - RODADA 22
MJKjRylS,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,4,1,3,0,L. Casagrande (Bra),Estádio da Serrinha (Goiânia),14450.0,4342.0,21/08/2024,21:00,BRASIL,SÉRIE B - RODADA 22
veiHscY8,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,0,2,0,3,J. Pinheiro (Bra),Estádio Rei Pelé (Maceió),19105.0,2630.0,21/08/2024,20:00,BRASIL,SÉRIE B - RODADA 22
EHaVJgt2,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,0,0,1,1,Goncalves K. (Bra),Mineirão (Belo Horizonte),61927.0,1470.0,21/08/2024,19:00,BRASIL,SÉRIE B - RODADA 22
va7IMedq,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,1,1,1,1,Bauermann G. (Bra),Estádio Brinco de Ouro (Campinas),29130.0,10567.0,21/08/2024,19:00,BRASIL,SÉRIE B - RODADA 22
Ik6MLFBk,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,1,2,0,3,P. Belence Alves dos Prazeres Filho (Bra),Estádio José Maria de Campos Maia (Mirassol),15000.0,2885.0,21/08/2024,19:00,BRASIL,SÉRIE B - RODADA 22
MJtMtHmF,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,2,3,0,3,Bellote L. (Bra),Estádio Germano Krüger (Ponta Grossa),10632.0,3313.0,20/08/2024,21:30,BRASIL,SÉRIE B - RODADA 22
0AuQuy3L,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,2,1,3,0,Thiago Gomes (Bra),Estádio Municipal Carlos Zamith (Manaus),6500.0,6543.0,20/08/2024,21:00,BRASIL,SÉRIE B - RODADA 22
zR0RKZQe,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,1,0,3,0,Miranda L. (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096.0,2256.0,20/08/2024,19:00,BRASIL,SÉRIE B - RODADA 22
jFnu9xSq,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,1,1,1,1,,,,,18/08/2024,18:30,BRASIL,SÉRIE B - RODADA 21
vyTZUJl3,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,0,1,0,3,Ribeiro Serafim D. (Bra),Augusto Bauer (Brusque),5000.0,976.0,18/08/2024,16:00,BRASIL,SÉRIE B - RODADA 21
QiRsTcJF,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,2,0,3,0,E. Alves Batista (Bra),Estádio Municipal Carlos Zamith (Manaus),6500.0,653.0,17/08/2024,18:00,BRASIL,SÉRIE B - RODADA 21
8GGnSHYL,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,1,2,0,3,Augusto V. C. M. (Bra),Castelão (Fortaleza),60326.0,40487.0,17/08/2024,17:00,BRASIL,SÉRIE B - RODADA 21
bujm7Gdd,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,0,1,0,3,Anderson Daronco (Bra),Vila Belmiro (Santos),16068.0,13545.0,17/08/2024,16:00,BRASIL,SÉRIE B - RODADA 21
0pUVVaZd,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,0,4,0,3,,,,,17/08/2024,15:30,BRASIL,SÉRIE B - RODADA 21
pxnq8dsj,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,1,1,1,1,Wilton Sampaio (Bra),Estádio Dr. Jorge Ismael de Biasi (Novo Horizonte),14096.0,2049.0,16/08/2024,21:30,BRASIL,SÉRIE B - RODADA 21
dEU6RprB,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,2,0,3,0,,,,,16/08/2024,21:00,BRASIL,SÉRIE B - RODADA 21
EkPBQ4cH,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,1,1,1,1,R. J. Pereira de Lima (Bra),Moisés Lucarelli (Campinas),17728.0,5503.0,16/08/2024,19:00,BRASIL,SÉRIE B - RODADA 21
n1SwUw49,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,1,2,0,3,J. Pinheiro (Bra),Estádio Germano Krüger (Ponta Grossa),10632.0,2882.0,15/08/2024,21:00,BRASIL,SÉRIE B - RODADA 21
OniQE7b5,Goiás,https://static.flashscore.com/res/image/data/xd3edbeM-G2OQQubE.png,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,2,1,3,0,Wagner do Nascimento (Bra),Estádio da Serrinha (Goiânia),14450.0,4071.0,12/08/2024,21:00,BRASIL,SÉRIE B - RODADA 20
I9jUDRDB,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,Vila Nova,https://static.flashscore.com/res/image/data/GMMaJNh5-nRWjgPsO.png,2,0,3,0,Mendes F. (Bra),Estádio Brinco de Ouro (Campinas),29130.0,2477.0,12/08/2024,20:00,BRASIL,SÉRIE B - RODADA 20
riOjVSrn,CRB,https://static.flashscore.com/res/image/data/QuqDEgh5-8z8OC8Ik.png,Novorizontino,https://static.flashscore.com/res/image/data/nuFzysBr-vFrLaFel.png,0,1,0,3,J. Ferreira (Bra),Estádio Rei Pelé (Maceió),19105.0,2392.0,11/08/2024,18:30,BRASIL,SÉRIE B - RODADA 20
QFDeUnbh,Coritiba,https://static.flashscore.com/res/image/data/xKm8lie5-8f6Hj6B0.png,Ponte Preta,https://static.flashscore.com/res/image/data/UVeNVSBr-4S2Tm4eJ.png,1,1,1,1,F. A. Santos Sá Júnior (Bra),Estádio Couto Pereira (Curitiba),40502.0,17254.0,11/08/2024,16:00,BRASIL,SÉRIE B - RODADA 20
EypwC5rO,Ituano,https://static.flashscore.com/res/image/data/8xrvrrCa-GKJk5gu7.png,Chapecoense,https://static.flashscore.com/res/image/data/v9EKoUeM-ALatFnbP.png,2,1,3,0,Policarpo Bento A. (Bra),Estádio Novelli Júnior (Itu),18560.0,912.0,10/08/2024,17:00,BRASIL,SÉRIE B - RODADA 20
INV2SQS4,Sport,https://static.flashscore.com/res/image/data/O0aua6ZA-G2OQQubE.png,Amazonas,https://static.flashscore.com/res/image/data/AwwuFEYA-S2JgYHKO.png,3,2,3,0,R. da Fonseca Silva (Bra),Arena Pernambuco (São Lourenço da Mata),44248.0,20283.0,10/08/2024,17:00,BRASIL,SÉRIE B - RODADA 20
hSrsBPcU,América-MG,https://static.flashscore.com/res/image/data/Eut0HLfM-nHqWQgSo.png,Botafogo-SP,https://static.flashscore.com/res/image/data/lduff8Ca-jF5yTdXD.png,3,1,3,0,Alisson (Bra),Estádio Raimundo Sampaio (Arena Independência) (Belo Horizonte),23018.0,4082.0,09/08/2024,21:30,BRASIL,SÉRIE B - RODADA 20
WCfYCoTH,Mirassol,https://static.flashscore.com/res/image/data/SUmYTyAr-xxPxlUp4.png,Brusque,https://static.flashscore.com/res/image/data/4xrDsqil-Gjdd0gEp.png,2,0,3,0,M. Klein (Bra),Estádio José Maria de Campos Maia (Mirassol),15000.0,1187.0,09/08/2024,21:00,BRASIL,SÉRIE B - RODADA 20
O0WbT6Db,Paysandu,https://static.flashscore.com/res/image/data/OY3H2Kf5-Ui9AU98I.png,Santos,https://static.flashscore.com/res/image/data/rJGaKUhl-ALgHCh57.png,0,3,0,3,Ribeiro Serafim D. (Bra),Estádio Olímpico do Pará (Belem),53635.0,36720.0,09/08/2024,20:00,BRASIL,SÉRIE B - RODADA 20
40PnW8Tu,Avaí,https://static.flashscore.com/res/image/data/tGpYsdYg-2LNvhL4k.png,Operário,https://static.flashscore.com/res/image/data/IBwiT7Da-j1A6VkgC.png,1,0,3,0,M. Henrique (Bra),Ressacada (Florianópolis),17800.0,4265.0,09/08/2024,19:15,BRASIL,SÉRIE B - RODADA 20
pdhMFmqa,Ceará,https://static.flashscore.com/res/image/data/lO0NK6f5-d29WsioJ.png,Guarani,https://static.flashscore.com/res/image/data/nVW3uzAr-bXbOazea.png,3,1,3,0,Goncalves K. (Bra),Castelão (Fortaleza),60326.0,30946.0,06/08/2024,21:00,BRASIL,SÉRIE B - RODADA 19
